,0,1
0,"Hi, what's your phone number?",[0 1 0 0 0 0 0 0 0 0]
1,"Hi, may I get the phone number?",[0 1 0 0 0 0 0 0 0 0]
2,"Hi, I want to order this product",[0 0 1 0 1 0 0 0 0 0]
3,"Good morning, I'm interested in this product. What's the price of this one?",[0 0 1 0 0 0 0 0 0 0]
4,Are there any of this product in stock?,[0 0 1 0 0 0 0 0 0 0]
5,What are the ways to deliver the product?,[0 0 0 1 0 0 0 0 0 0]
6,How long does the delivery take?,[0 0 0 1 0 0 0 0 0 0]
7,Are any of this product available?,[0 0 1 0 0 0 0 0 0 0]
8,What about the delivery?,[0 0 0 1 0 0 0 0 0 0]
9,Does it have this characteristic?,[1 0 0 0 0 0 0 0 0 0]
10,We want to cooperate with your company.,[1 0 0 0 0 0 0 0 0 0]
11,We would be glad to work with your company indeed.,[1 0 0 0 0 0 0 0 0 0]
12,"Hi, name, is that you?",[1 0 0 0 0 0 0 0 0 0]
13,Is the delivery available to Ukraine?,[0 0 0 1 0 0 0 0 0 0]
14,Is the delivery available to this country?,[0 0 0 1 0 0 0 0 0 0]
15,What's the price of the delivery?,[0 0 0 1 0 0 0 0 0 0]
16,May I pay for the this product when I receive it?,[0 0 0 1 0 0 0 0 0 0]
17,What is included in the set?,[0 0 1 0 0 0 0 0 0 0]
18,What is included with the product?,[0 0 1 0 0 0 0 0 0 0]
19,Is the delivery free?,[0 0 0 1 0 0 0 0 0 0]
20,How long is it going to take to get it to my city?,[0 0 0 1 0 0 0 0 0 0]
21,"Hey, what's the price of the new Nike?",[0 0 1 0 0 0 0 0 0 0]
22,"Hi, are any of those shoes available?",[0 0 1 0 0 0 0 0 0 0]
23,"Good morning, I'm looking for a new phone for my kid. It shouldn't be expensive. Thank you!",[0 0 0 0 0 0 0 0 0 1]
24,"Hey, I'm interested in Adidas leggings? How much do you want for them?",[0 0 1 0 0 0 0 0 0 0]
25,"Hey, is the discount still available for the new Puma Cali?",[0 0 1 0 0 0 0 0 0 0]
26,Hi,[0 0 0 0 0 1 0 0 0 0]
27,"Hey, do you still have any of those Nike Air's?",[0 0 1 0 0 0 0 0 0 0]
28,"Hi, what's the company that delivers your products?",[0 0 0 1 0 0 0 0 0 0]
29,Are those Nike shoes good for winter,[0 0 1 0 0 0 0 0 0 0]
30,Have you got some budget smartphone? In range of 200-500 $,[0 0 0 0 0 0 0 0 0 1]
31,Are there any problems with delivery because of coronavirus? Isn't it going to take more time than usual?,[0 0 0 1 0 0 0 0 0 0]
32,Do you have a warranty for the new Nike sneakers?,[0 0 1 0 0 0 0 0 0 0]
33,When am I going to get the package?,[0 0 0 1 0 0 0 0 0 0]
34,Are the new IPhones 12 in stock?,[0 0 1 0 0 0 0 0 0 0]
35,Why does it take so long to get the package to my house?????,[0 0 0 1 0 0 0 0 0 0]
36,"Hey, do you have something for a young girl. I need a gift for her birthday!",[0 0 1 0 0 0 0 0 0 0]
37,How much do you want for the refurbished iphone 6?,[0 0 1 0 0 0 0 0 0 0]
38,"Hey, can you get us one pineapple and a chicago to 2411 Howard Street?",[0 0 0 0 1 0 0 0 0 0]
39,"Hi man, how much time to get it to 2411 Howard Street?",[0 0 0 1 0 0 0 0 0 0]
40,Is that discount for pineapple pizza still available?,[1 0 0 0 0 0 0 0 0 0]
41,"Hey, do you work today?",[0 0 0 0 0 1 0 0 0 0]
42,"Hey, do you ship the packages to Europe?",[0 0 0 1 0 0 0 0 0 0]
43,Do you ship the packages to America?,[0 0 0 1 0 0 0 0 0 0]
44,How many cores does the new iphone have?,[0 0 1 0 0 0 0 0 0 0]
45,I need a phone for my Mom. Not extremely expensive but not a brick please.,[0 0 0 0 0 0 0 0 0 1]
46,"Hi, is there any possibility to cooperate with your company?",[1 0 0 0 0 0 0 0 0 0]
47,"Hi, have you got any vacancies there? I would like to apply for a product manager",[1 0 0 0 0 0 0 0 0 0]
48,"Hey, we need one Chicago pizza to 2111 Howard Street.",[0 0 0 0 1 0 0 0 0 0]
49,I need a pair of Nike Air. ,[0 0 0 0 1 0 0 0 0 0]
50,"Hi, those Nike Air are so good man. Thank you all!!!! I love em",[0 0 0 0 0 0 1 0 0 0]
51,"Hey, thank you for the new item. It's lit!!!",[0 0 0 0 0 0 1 0 0 0]
52,Thank you for the pizza! The quality is above the sky!,[0 0 0 0 0 0 1 0 0 0]
53,The pizza is lit! Thank a lot!,[0 0 0 0 0 0 1 0 0 0]
54,Why do you deliver them in plastic packaging! It's bad for the environment! Replace those with organic stuff!,[0 0 0 0 0 0 1 0 0 0]
55,The pizza stinks as shit! What the hell is this????,[0 0 0 0 0 0 1 0 0 0]
56,Why the hell did you put the tomatoes inside!? I told you not to put them!,[0 0 0 0 0 0 1 0 0 0]
57,I've already taken them from the post office! They're so soft and sweet! Thank you and love you!,[0 0 0 0 0 0 1 0 0 0]
58,I like everything except the price. Could be a bit cheaper. Everything else is great!,[0 0 0 0 0 0 1 0 0 0]
59,"The delivery took a bit long but nothing bad happened then. The shoes are great. Pull them on every day, no problem.",[0 0 0 0 0 0 1 0 0 0]
60,No comment! They're amazing!,[0 0 0 0 0 0 1 0 0 0]
61,"Jesus, thank you! So awesome!",[0 0 0 0 0 0 1 0 0 0]
62,"Oh, God, thanks a lot! Ur awesome guys, thank you!!!",[0 0 0 0 0 0 1 0 0 0]
63,"Oh yeah, everything is great. Everything is awesome!",[0 0 0 0 0 0 1 0 0 0]
64,Do u have any custom pizza?  I would like to make one!,[1 0 0 0 0 0 0 0 0 0]
65,Have you got an IPhone 12 in stock?,[0 0 1 0 0 0 0 0 0 0]
66,Is there Harry Potter in stock?,[0 0 1 0 0 0 0 0 0 0]
67,"Hey, I wanna order Lord Of The Rings please.",[0 0 1 0 1 0 0 0 0 0]
68,"Hey, how much does the delivery cost for 100 km from your warehouse? And can I take it on my own?",[0 0 0 1 0 0 0 0 0 0]
69,"Good morning, do ship packages to the South America (Brazilia)?",[0 0 0 1 0 0 0 0 0 0]
70,"Hey, is Xioami a Chinese phone?",[0 0 1 0 0 0 0 0 0 0]
71,What's the price of the new Xiaomi Redmi Note 8 Pro?,[0 0 1 0 0 0 0 0 0 0]
72,Does the new Xiaomi Mi 10 have a Face-ID recognition?,[0 0 1 0 0 0 0 0 0 0]
73,What's included with One Plus 8 pro?,[0 0 1 0 0 0 0 0 0 0]
74,What's the price of AirPods Pro?,[0 0 1 0 0 0 0 0 0 0]
75,Are there any restrictions with USPS?,[0 0 0 1 0 0 0 0 0 0]
76,Do you ship the packages throughout the world?,[0 0 0 1 0 0 0 0 0 0]
77,What's your phone number?,[0 1 0 0 0 0 0 0 0 0]
78,I'll phone you when I get the package,[0 1 0 0 0 0 0 0 0 0]
79,Are you shipping to Russia?,[0 0 0 1 0 0 0 0 0 0]
80,What is the company does deliver the packages?,[0 0 0 1 0 0 0 0 0 0]
81,What about the delivery?,[0 0 0 1 0 0 0 0 0 0]
82,May I get your number please?,[0 1 0 0 0 0 0 0 0 0]
83,How can I contact you?,[0 1 0 0 0 0 0 0 0 0]
84,"Hi, I want to order Don Quixote, please? How much for that one?",[0 0 1 0 1 0 0 0 0 0]
85,"Whassup, I wanna order Nike Air Versitile. How much?",[0 0 1 0 1 0 0 0 0 0]
86,Have you got this product?,[0 0 1 0 0 0 0 0 0 0]
87,"Hey, may I phone you, please? What's your phone number?",[0 1 0 0 0 0 0 0 0 0]
88,"Hi, I'm looking for a phone for my son. Do you have a cheap one and so my son can play some games? ",[0 0 0 0 0 0 0 0 0 1]
89,"Hello, do you ship the packages to China?",[0 0 0 1 0 0 0 0 0 0]
90,"The phone itself is amazing, but the delivery was really long. Expected it to come on Monday, but got it only on Friday.",[0 0 0 0 0 0 1 0 0 0]
91,Why the hell can't you answer me? I've been waiting for the answer for ten days long!,[0 0 0 0 0 0 1 0 0 0]
92,"The book is awesome. Guys, I recommend this one.",[0 0 0 0 0 0 1 0 0 0]
93,"Hey, how you doin? What's your phone number? I would like to ask you about the new air max",[0 1 0 0 0 0 0 0 0 0]
94,"Hi, I really really need the new IPhone for my wife. It's an emergency",[0 0 0 0 0 0 0 0 0 1]
95,"Hi, I would like to buy the new Iphone 12, please. Cash, 51 Queen StreetHEREFORDHR7 2FZ",[0 0 0 0 1 0 0 0 1 0]
96,"Hi, can I pay with cash when I get the package?",[0 0 0 0 0 0 0 1 0 0]
97,"Hey, do I have to pay with credit card only?",[0 0 0 0 0 0 0 1 0 0]
98,"Hi, do you accept Master Cards?",[0 0 0 0 0 0 0 1 0 0]
99,"Hello, do I have to prepay for something when ordering a book?",[0 0 0 0 0 0 0 1 0 0]
100,What're the ways to pay for the package?,[0 0 0 0 0 0 0 1 0 0]
101,"Hi, I want to buy the new Corsar fireworks? How much do they cost?",[0 0 1 0 0 0 0 0 0 0]
102,"Hi, how much for the Christmas mug? ",[0 0 1 0 0 0 0 0 0 0]
103,"Whassup, how much for the new Wilson Evolution?",[0 0 1 0 0 0 0 0 0 0]
104,"Hey, what ball would you recommend for a complete beginner in basketball?",[0 0 0 0 0 0 0 0 0 1]
105,"Hi, what's the price of the blue Chanel shirt?",[0 0 1 0 0 0 0 0 0 0]
106,"Hey, what's the fiber of the Armani shirt?",[0 0 1 0 0 0 0 0 0 0]
107,"Hi, what are the Calvin Klein panties made of?",[0 0 1 0 0 0 0 0 0 0]
108,"Hi, I need something for a party. What have you got?",[0 0 0 0 0 0 0 0 0 1]
